车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G3726,贵阳东,2026-08-21,13:23,2026-08-21,13:31,0.0,850.0,30.6,20.2,0.3,0.3,0.0,3.0,12.6,30.6,21.0,69.0,51,小毛毛雨
G3726,遵义,2026-08-21,14:18,2026-08-21,14:20,0.0,973.0,30.3,21.2,1.0,1.0,0.0,7.0,8.5,22.3,19.0,76.0,51,小毛毛雨
G3726,娄山关南,2026-08-21,14:34,2026-08-21,14:36,0.0,1003.0,30.5,21.3,2.2,2.2,0.0,11.0,12.0,30.2,68.0,83.0,51,小毛毛雨
G3726,重庆西,2026-08-21,15:43,2026-08-21,15:52,0.0,1194.0,31.6,24.6,11.1,11.1,0.0,11.0,6.3,16.6,48.0,82.0,63,中雨
G3726,重庆北,2026-08-21,16:17,2026-08-21,16:22,-3.0,1224.0,31.6,24.6,11.1,11.1,0.0,11.0,6.3,16.6,48.0,82.0,63,中雨
G3726,梁平南,2026-08-21,17:14,2026-08-21,17:19,-1.0,1404.0,31.6,23.8,5.8,5.8,0.0,7.0,9.0,22.3,56.0,87.0,63,中雨
G3726,万州北,2026-08-21,17:40,2026-08-21,17:44,,1469.0,34.1,26.3,2.2,2.2,0.0,6.0,8.3,24.8,43.0,82.0,53,毛毛雨
G3726,云阳,2026-08-21,17:57,2026-08-21,17:59,0.0,1507.0,31.7,26.1,7.2,7.2,0.0,14.0,16.1,30.2,63.0,91.0,61,小雨
G3726,巫山,2026-08-21,18:33,,,0.0,1622.0,34.4,25.4,3.8,3.8,0.0,9.0,11.5,27.0,49.0,82.0,61,小雨
,,,,,,,,,,,,,,,,,,,
G1,北京南,2026-08-21,06:30,2026-08-21,06:30,0.0,0.0,34.6,23.6,7.0,7.0,0.0,9.0,10.5,28.8,39.0,70.0,63,中雨
G1,沧州西,2026-08-21,07:18,2026-08-21,07:20,-2.0,210.0,32.3,24.0,17.0,17.0,0.0,21.0,7.7,21.2,88.0,89.0,63,中雨
G1,德州东,2026-08-21,07:45,2026-08-21,07:47,0.0,314.0,28.2,21.1,4.6,4.6,0.0,13.0,6.3,25.2,60.0,79.0,61,小雨
G1,曲阜东,2026-08-21,08:34,2026-08-21,08:36,,527.0,32.6,24.2,3.8,3.8,0.0,7.0,16.1,31.0,29.0,78.0,61,小雨
G1,南京南,2026-08-21,10:13,2026-08-21,10:15,0.0,1015.0,32.1,26.0,10.1,10.1,0.0,16.0,12.3,33.1,58.0,88.0,63,中雨
G1,苏州北,2026-08-21,10:59,2026-08-21,11:01,0.0,1229.0,32.8,26.3,4.7,4.7,0.0,11.0,13.9,33.1,50.0,83.0,55,浓毛毛雨
G1,上海虹桥,2026-08-21,11:24,,,-1.0,1310.0,32.1,26.7,1.2,1.2,0.0,8.0,15.9,38.9,62.0,81.0,51,小毛毛雨
,,,,,,,,,,,,,,,,,,,
D1,北京西,2026-08-21,17:58,2026-08-21,17:58,0.0,0.0,34.6,23.6,7.0,7.0,0.0,9.0,10.5,28.8,39.0,70.0,63,中雨
D1,石家庄,2026-08-21,20:24,2026-08-21,20:30,4.0,281.0,31.6,23.3,1.3,1.3,0.0,7.0,6.5,17.6,29.0,79.0,51,小毛毛雨
D1,郑州,2026-08-21,23:59,2026-08-22,00:05,-3.0,707.0,30.6,23.4,5.9,5.9,0.0,10.0,9.2,26.3,21.0,84.0,63,中雨
D1,武昌,2026-08-22,04:44,2026-08-22,04:50,-20.0,1243.0,31.8,23.2,3.7,3.7,0.0,10.0,11.0,26.6,87.0,87.0,55,浓毛毛雨
D1,岳阳,2026-08-22,06:47,2026-08-22,06:51,-6.0,1458.0,32.4,27.3,0.8,0.8,0.0,5.0,16.9,40.0,19.0,83.0,51,小毛毛雨
D1,长沙,2026-08-22,08:16,,,-7.0,1605.0,38.5,26.4,0.0,0.0,0.0,0.0,6.9,26.3,15.0,67.0,2,多云
,,,,,,,,,,,,,,,,,,,
